id_evento,data_evento,hora_evento,bairro,municipio,uf,latitude,longitude,tipo_evento,intensidade_evento,precipitacao_mm,duracao_horas,velocidade_vento_kmh,temperatura_celsius,umidade_relativa,nivel_mare_cm,area_afetada_m2,residencias_afetadas,populacao_afetada,nivel_alerta,tempo_resposta_horas,orgao_responsavel,status_atendimento,descricao_ocorrencia,custo_estimado_reais,Fluxo_agua_m2_seg,Total_acumulad0_L,Altura_cm
0018,2023-11-08,01:17,Gonzaguinha,Mongaguá,SP,-23.882177,-46.27572,maré alta,leve,133.2,10.96,27.7,33,82,49,4257,160,604,alto,18.88,Corpo de Bombeiros,concluído,Veritatis impedit repellendus porro distinctio laudantium et minima odio maxime nemo non distinctio omnis.,348607.25,32,130,6
0019,2024-10-06,11:33,Japuí,Mongaguá,SP,-23.868145,-46.275487,granizo,leve,111.5,4.87,67.1,36.5,66,53.6,2026,146,529,moderado,17.43,Polícia Militar,em andamento,Vel exercitationem adipisci fuga soluta repudiandae esse culpa possimus totam eos.,75816.27,177,150,188
0020,2024-04-12,06:38,Centro,Guarujá,SP,-23.913915,-46.264578,maré alta,leve,108.2,0.78,20.1,29.8,72,151.3,4151,170,137,emergência,19.28,Defesa Civil,concluído,Minus officiis aperiam porro doloremque minus id quidem amet et minima eveniet eius cum amet.,314657.23,180,138,116
0021,2025-04-20,23:31,Parque Bitaru,Guarujá,SP,-23.861015,-46.324622,maré alta,severa,1.8,11.31,111,15.6,87,14.6,1697,64,496,baixo,17.9,Prefeitura,em andamento,Impedit asperiores vitae possimus rerum nemo ea a.,431481.61,46,184,10
0022,2025-04-09,11:12,Boqueirão,São Vicente,SP,-23.903205,-46.272345,vento intenso,leve,47.8,8.93,6.6,34.6,41,66.4,2281,51,663,emergência,6.61,Defesa Civil,pendente,Dolorem facilis voluptatibus alias alias nesciunt veniam corrupti molestias inventore soluta optio voluptate officiis ratione.,470389.67,192,169,51
0023,2025-06-16,18:10,Gonzaguinha,Santos,SP,-23.870021,-46.270855,vento intenso,moderada,39.9,4.46,94.8,15.8,84,102,2953,124,269,alto,9.86,Prefeitura,concluído,Eaque dolorem ipsum voluptas pariatur iusto veniam minus.,455358.78,95,70,67
0024,2023-05-01,11:04,Vila Margarida,Guarujá,SP,-23.855115,-46.333566,vento intenso,forte,22.9,9.53,95.4,22.5,92,143.3,4866,174,464,baixo,17.79,Prefeitura,pendente,Maiores hic cum possimus tempore nulla sed voluptate.,460792.19,197,24,38
0025,2025-08-09,21:35,Gonzaguinha,Santos,SP,-23.91431,-46.317416,granizo,leve,49.6,6.05,62.4,31.4,73,86.7,18,18,583,baixo,14.59,Prefeitura,em andamento,Aspernatur veritatis debitis aliquid facilis fugit reprehenderit quasi eaque perferendis voluptatibus molestiae provident.,402902.76,132,166,75
0026,2024-09-03,11:06,Parque Bitaru,Santos,SP,-23.897372,-46.330103,alagamento,moderada,46.1,8.9,12.1,31.8,45,26,748,184,931,moderado,8.07,Corpo de Bombeiros,em andamento,Ex quas labore rem voluptatibus sint maiores minima magni reiciendis dolore.,254214.37,109,27,146
0027,2024-02-01,08:25,Aparecida,São Vicente,SP,-23.93942,-46.308125,maré alta,severa,85.1,2.32,98.8,22.3,61,128.6,3142,96,916,baixo,13.14,Polícia Militar,concluído,Ab tempora praesentium delectus in consectetur architecto quibusdam fugiat ipsam provident quam nulla.,272916.4,69,68,160
0028,2024-04-27,12:39,Parque Bitaru,Santos,SP,-23.878032,-46.347027,chuva forte,leve,122.6,8.22,5.7,30.2,52,141.8,2218,123,876,moderado,17.87,Polícia Militar,pendente,Ullam ullam quo repudiandae aperiam nisi error doloribus eveniet.,14605.95,10,188,166
0029,2023-06-27,02:50,Catiapoã,Praia Grande,SP,-23.862612,-46.341088,chuva forte,forte,28.5,7.51,57.2,15.9,61,181,1354,11,422,emergência,0.53,Polícia Militar,em andamento,Odio aliquid nesciunt excepturi fuga aliquam alias corporis animi animi ipsa quos quia asperiores eaque illo.,316544.55,136,95,68
0030,2025-05-29,19:15,Catiapoã,Guarujá,SP,-23.850992,-46.323777,maré alta,forte,22.4,1.98,45.9,31.4,96,120.6,3567,105,585,moderado,5.34,Prefeitura,pendente,Explicabo qui maxime quia consectetur reiciendis voluptatum atque libero.,329107.3,122,97,172
0031,2025-08-19,09:45,Embaré,Guarujá,SP,-23.859704,-46.311898,chuva forte,severa,33.2,10.42,11.8,16.4,97,215.8,3983,196,377,emergência,17.62,Prefeitura,pendente,Delectus maiores eius a rerum officiis ipsa odio libero sed adipisci natus blanditiis.,474562.12,11,177,108
0032,2023-06-07,18:14,Embaré,Praia Grande,SP,-23.905651,-46.297074,vento intenso,moderada,45.9,0.11,62.1,30.5,66,191.2,978,16,71,moderado,9.18,Polícia Militar,concluído,Non ipsam unde itaque non est quasi.,265833.78,128,159,70
0033,2023-04-20,04:15,Boqueirão,São Vicente,SP,-23.867672,-46.286655,inundação,forte,9.8,3.85,34.8,36.2,74,243.2,4105,45,370,emergência,15.85,Defesa Civil,concluído,Sapiente provident veritatis ipsa enim aspernatur libero cum inventore molestias voluptatem.,49146.15,1,113,95
0034,2024-10-26,08:23,Itararé,Santos,SP,-23.936185,-46.301791,alagamento,leve,184.3,4.27,51.9,23,54,186.5,845,77,940,emergência,5.57,Corpo de Bombeiros,em andamento,Veritatis ex pariatur modi atque perspiciatis delectus voluptate quaerat itaque quam maiores voluptatibus officia asperiores expedita.,382462.64,74,83,15
0035,2025-04-03,07:33,Japuí,Mongaguá,SP,-23.93958,-46.331644,granizo,forte,152.6,9.56,84,36.3,85,159.5,4601,41,466,baixo,20.01,Polícia Militar,pendente,Nam possimus quaerat atque pariatur quibusdam accusamus saepe repellendus delectus laudantium nihil eos inventore.,392264.03,143,12,148
0036,2024-05-05,02:20,Gonzaguinha,Santos,SP,-23.876953,-46.292121,maré alta,moderada,17.3,7.03,58,30.8,55,217.9,3724,94,457,emergência,9.82,Polícia Militar,pendente,Architecto neque ab reiciendis autem ipsa ipsa reiciendis eum non autem impedit consequatur commodi.,35152.08,58,18,112
0037,2024-03-15,23:40,Catiapoã,São Vicente,SP,-23.944272,-46.34143,alagamento,forte,95.5,5.19,69.2,37.8,50,166.5,2697,200,244,baixo,6.53,Corpo de Bombeiros,em andamento,Repellendus molestiae perferendis ullam repellat nihil inventore corporis quos id ducimus quia numquam voluptas porro.,41674.82,4,158,41
0038,2025-03-27,00:58,Catiapoã,Santos,SP,-23.910024,-46.27771,chuva forte,moderada,100.4,9.1,92.7,32.9,98,73.9,4463,103,333,emergência,9.55,Corpo de Bombeiros,em andamento,Impedit ipsam consequatur reiciendis quis possimus dolor incidunt blanditiis.,293629.45,55,79,189
0039,2023-08-04,01:58,Centro,Guarujá,SP,-23.924394,-46.261715,alagamento,moderada,83.1,9.27,42.8,18.6,89,124.5,1159,165,984,baixo,9.59,Polícia Militar,pendente,Enim unde doloremque corporis ut eveniet quod architecto nostrum culpa error ex.,364970.98,181,129,25
0040,2023-05-24,19:14,Gonzaguinha,São Vicente,SP,-23.883463,-46.344911,vento intenso,forte,4,10.29,110.5,18.6,68,96.2,2082,24,841,alto,7.08,Prefeitura,pendente,Quod molestiae fugit enim ea ea ad voluptatum unde doloremque dolorem quidem doloremque et quae esse.,309297.32,120,64,151
0041,2025-02-18,21:16,Japuí,Praia Grande,SP,-23.914608,-46.322185,inundação,severa,151,11.31,47.4,37.5,68,176.8,1102,143,268,baixo,22.36,Corpo de Bombeiros,em andamento,Aut reiciendis repellendus quos iure libero voluptas numquam perspiciatis dignissimos quae magni at animi repellat.,98309.82,42,85,73
0042,2023-11-17,16:36,Catiapoã,Mongaguá,SP,-23.869806,-46.300127,chuva forte,forte,183.1,6.9,47.5,23.3,41,54.7,2668,170,266,moderado,2.27,Polícia Militar,em andamento,Inventore similique dolore laudantium accusantium ducimus culpa doloremque illum hic quaerat accusantium.,498447.49,176,39,66
0043,2025-01-22,06:22,Aparecida,Santos,SP,-23.911087,-46.338488,inundação,severa,67.6,2.85,91.9,24.8,86,65.2,1835,96,209,emergência,20.17,Corpo de Bombeiros,em andamento,Voluptatum recusandae voluptas blanditiis vel eveniet nam amet consequatur non.,497926.64,32,60,176
0044,2024-11-07,09:51,Aparecida,Praia Grande,SP,-23.912932,-46.267553,granizo,forte,105.5,10.5,103.2,35.2,62,241.7,220,134,621,baixo,2.94,Prefeitura,em andamento,Architecto error a atque veniam repudiandae doloribus sapiente doloribus dolorem deleniti quae.,434393.46,127,137,143
0045,2023-03-30,01:02,Parque Bitaru,Mongaguá,SP,-23.854559,-46.262418,alagamento,leve,107.7,1.5,67.7,17.2,99,186.6,1587,186,72,alto,23.59,Polícia Militar,concluído,Quaerat deleniti provident rerum maxime vitae tempore eius earum quod illum reiciendis vel nisi blanditiis dolores.,499605.78,161,123,64
0046,2024-05-10,19:48,Aparecida,São Vicente,SP,-23.944998,-46.266538,chuva forte,forte,106.5,10.53,91.2,20.7,42,39.3,4598,179,127,baixo,14.43,Prefeitura,pendente,Dolorum at voluptate vel dolorum ullam dolor dolor nemo ipsa ipsa nihil accusantium a tenetur tempore.,194782.05,166,136,196
0047,2025-08-06,06:06,Aparecida,São Vicente,SP,-23.889409,-46.347584,alagamento,severa,37.8,0.81,41.5,24,86,19,2390,69,515,alto,12.8,Polícia Militar,pendente,Nobis amet est fugiat omnis minima eius commodi.,388526.76,9,117,6
0048,2023-05-22,13:26,Catiapoã,Guarujá,SP,-23.919658,-46.312497,inundação,leve,153,0.16,107.4,16.5,97,44.8,4976,130,736,moderado,22.46,Defesa Civil,em andamento,Alias vel odio illo exercitationem laudantium labore similique vitae illo sunt architecto quidem totam laboriosam.,86610.21,110,177,199
0049,2023-08-29,20:41,Centro,Guarujá,SP,-23.86797,-46.260483,inundação,forte,3.2,2.97,10.4,16.1,86,172.4,2099,36,392,alto,6.25,Prefeitura,em andamento,Porro culpa tempore vitae autem temporibus numquam deleniti quis omnis distinctio nobis eos quasi et.,99215.21,81,25,77
0050,2023-04-27,23:05,Gonzaguinha,Guarujá,SP,-23.906225,-46.328404,alagamento,leve,124.1,7.74,65,33.7,75,247.2,3157,54,503,moderado,14.45,Polícia Militar,concluído,Facilis ex excepturi modi nulla perspiciatis quia sunt ex ex.,286238.94,141,115,172
0051,2024-11-30,22:22,Gonzaguinha,Guarujá,SP,-23.916925,-46.286528,maré alta,leve,128.7,3.9,108.5,36.5,55,227,4171,133,194,emergência,19.66,Prefeitura,pendente,Magni non tempora eligendi tempore nam perferendis repudiandae nobis quaerat magnam ratione rerum nulla commodi.,367451.8,32,65,45
0052,2023-09-25,10:42,Embaré,Guarujá,SP,-23.867672,-46.299476,alagamento,forte,42.4,6.6,97.1,17.4,87,71.9,2769,112,580,baixo,15.41,Corpo de Bombeiros,pendente,Corporis rerum sint impedit recusandae deserunt eos quos repellat voluptatibus quo aperiam maxime.,339881.34,108,119,125
0053,2023-03-07,18:23,Gonzaguinha,Santos,SP,-23.889013,-46.316547,granizo,moderada,113.9,4.92,71.1,28.6,98,61,1272,96,95,alto,3.64,Corpo de Bombeiros,concluído,Itaque blanditiis quae libero impedit perferendis porro ipsa.,135263.48,113,117,140
0054,2025-01-29,15:22,Boqueirão,Santos,SP,-23.85995,-46.309617,vento intenso,leve,82.4,11.73,52.4,17.9,71,243.2,829,81,900,baixo,14.06,Defesa Civil,pendente,Non soluta dolores reiciendis officiis quasi non nam quasi impedit ut.,393817.82,80,120,124
0055,2025-07-03,08:42,Itararé,Guarujá,SP,-23.933814,-46.33573,chuva forte,severa,135.4,8.24,76.7,31.3,51,63.6,2201,31,768,moderado,3.17,Corpo de Bombeiros,concluído,Sed pariatur voluptates veritatis eum voluptates fugit recusandae ducimus laboriosam suscipit pariatur ratione officiis repellat.,64603.32,40,142,128
0056,2024-10-04,15:58,Aparecida,São Vicente,SP,-23.915016,-46.285863,chuva forte,forte,146.4,0.42,92.4,17.7,44,28.9,4078,124,236,alto,7.16,Prefeitura,pendente,Officiis delectus deleniti illum aliquid quos laborum pariatur.,478772.31,166,7,93
0057,2023-09-22,20:40,Catiapoã,Guarujá,SP,-23.850998,-46.297339,maré alta,moderada,88.9,5.04,6.4,27.3,64,177.6,2998,104,690,emergência,19.05,Corpo de Bombeiros,em andamento,Beatae sit alias explicabo tenetur minus tenetur optio eum eos culpa delectus consectetur iste modi repellendus.,281867.02,182,33,126
0058,2023-12-20,08:48,Parque Bitaru,Santos,SP,-23.918976,-46.307104,vento intenso,leve,148.4,6.76,96.5,28.1,71,232,3329,30,630,emergência,2.37,Corpo de Bombeiros,pendente,Iusto explicabo laudantium quam officiis tempora quisquam soluta nisi.,441022.43,40,138,103
0059,2024-03-23,03:17,Catiapoã,Guarujá,SP,-23.889843,-46.256045,inundação,leve,116.1,5.31,115,16.6,94,104.8,546,105,206,emergência,19.04,Defesa Civil,concluído,Eligendi saepe numquam quod saepe deserunt qui.,213828.98,71,4,144
0060,2024-01-18,02:01,Japuí,Praia Grande,SP,-23.908756,-46.279956,alagamento,severa,108.4,10.3,47.7,26.7,86,242.5,4207,111,805,moderado,12.88,Prefeitura,concluído,Eligendi nihil doloribus odit adipisci blanditiis aspernatur voluptates eaque.,145421.04,198,24,95
0061,2023-01-11,18:29,Itararé,Mongaguá,SP,-23.850843,-46.326416,chuva forte,moderada,190.9,3.68,7.5,36.3,92,168.7,4087,162,236,baixo,21.9,Polícia Militar,pendente,Odit doloribus quos inventore asperiores officiis laborum asperiores recusandae porro.,152175.55,148,30,7
0062,2023-09-29,23:33,Gonzaguinha,São Vicente,SP,-23.897033,-46.312233,alagamento,leve,194.4,7.93,37.2,24.1,84,183.3,1767,140,823,moderado,1.77,Defesa Civil,em andamento,Illo quaerat rerum architecto voluptatem ad aut quis aspernatur quaerat.,138183.22,68,147,83
0063,2024-10-03,00:02,Embaré,São Vicente,SP,-23.91088,-46.328019,vento intenso,leve,30.8,2.79,74.4,20.4,86,91.2,1703,63,342,baixo,15.89,Prefeitura,pendente,Rem illum nobis neque aperiam quae perspiciatis eius ipsa nemo repellat exercitationem.,486101.19,145,117,200
0064,2024-02-23,22:46,Parque Bitaru,Mongaguá,SP,-23.915335,-46.25851,chuva forte,leve,182.8,3.11,52.1,36,55,212.7,4395,147,623,baixo,19.05,Prefeitura,em andamento,Eaque quos beatae nobis eligendi quae nisi.,219519.09,160,98,141
0065,2025-09-11,01:51,Aparecida,Praia Grande,SP,-23.918886,-46.257743,alagamento,severa,29.4,0.29,1.2,18.8,42,172.6,3531,116,951,emergência,0.43,Corpo de Bombeiros,em andamento,Et autem harum magnam neque consequatur asperiores aliquid beatae tempore pariatur sint quia expedita.,447512.88,15,164,108
0066,2024-12-03,05:36,Centro,Santos,SP,-23.850027,-46.27854,granizo,severa,51.3,10.7,63.5,35,99,146.1,2352,65,564,moderado,17.26,Corpo de Bombeiros,em andamento,Adipisci doloribus quam perferendis dolorum eligendi quia quisquam minus nemo quisquam architecto repellendus quis.,299536.55,124,110,63
0067,2025-07-01,22:16,Embaré,Mongaguá,SP,-23.91389,-46.314436,chuva forte,severa,55.9,9.27,74.1,19,90,29.7,1682,161,757,emergência,1.1,Corpo de Bombeiros,em andamento,Quidem earum magni harum nihil mollitia nisi officiis vel atque.,327068.56,115,3,1
0068,2024-10-30,18:26,Catiapoã,Mongaguá,SP,-23.911199,-46.26981,granizo,forte,18.7,9.07,66,21.9,67,223.4,4334,74,953,alto,7.89,Polícia Militar,em andamento,Modi magnam cumque facere et odio ad.,40811.89,121,188,150
0069,2023-06-25,14:02,Boqueirão,Praia Grande,SP,-23.869379,-46.312421,vento intenso,forte,21.1,8.39,14,28.9,90,154.5,1846,21,951,moderado,18.54,Polícia Militar,concluído,Dolor laboriosam debitis illo ullam error consectetur.,133552.58,93,41,190
0070,2023-09-19,03:09,Parque Bitaru,Praia Grande,SP,-23.868858,-46.349732,vento intenso,severa,165.9,9.46,31.7,22.4,60,104.9,4342,193,611,alto,8.41,Defesa Civil,concluído,Voluptatem fugit aut mollitia eos asperiores ut totam asperiores itaque error officiis sint ex quos.,486965.01,82,3,122
0071,2022-11-09,19:15,Itararé,Mongaguá,SP,-23.944049,-46.33275,granizo,severa,9.1,7.11,37.2,27.5,75,172.6,2556,0,941,alto,4.87,Prefeitura,concluído,Ea hic esse ut quisquam illo numquam sint assumenda ipsam sit.,404437.78,36,71,123
0072,2023-11-29,14:19,Vila Margarida,Guarujá,SP,-23.850435,-46.292212,vento intenso,leve,181.5,5.07,82.6,15.1,54,163.9,2810,57,997,alto,5.17,Corpo de Bombeiros,concluído,Delectus iure voluptatibus ratione libero impedit id labore ea sint.,19227.61,24,19,123
0073,2024-07-28,15:44,Gonzaguinha,São Vicente,SP,-23.859092,-46.275809,chuva forte,severa,65.8,4.01,8.7,19.5,99,152.5,4451,59,354,moderado,16.3,Corpo de Bombeiros,em andamento,Assumenda fugiat aut dolor beatae placeat vero doloremque quia.,299700.96,24,117,112
0074,2023-02-01,22:32,Boqueirão,Santos,SP,-23.851235,-46.294955,maré alta,severa,118.7,0.13,27.7,17.9,54,239.5,1434,117,884,emergência,17.8,Polícia Militar,pendente,Debitis quas aperiam sapiente quo vel veritatis explicabo tempora.,53279.28,7,163,183
0075,2025-03-27,12:06,Itararé,Mongaguá,SP,-23.868391,-46.280021,vento intenso,leve,178.2,6.65,11.8,32.8,96,47.6,612,6,269,moderado,3.07,Prefeitura,pendente,Quisquam nostrum libero adipisci ad veritatis eveniet a expedita perspiciatis.,122435.89,161,145,195
0076,2024-08-06,03:41,Aparecida,Santos,SP,-23.878781,-46.323712,vento intenso,forte,138.8,0.15,9.7,26.7,83,116.1,252,119,103,moderado,17.67,Defesa Civil,em andamento,Perspiciatis illum aspernatur a est quos consequuntur ratione aliquid provident accusantium praesentium molestias adipisci commodi.,151719.41,43,5,130
0077,2025-06-29,16:24,Centro,Guarujá,SP,-23.946552,-46.330069,inundação,forte,111.2,1.76,54.6,33.5,77,155.2,1256,48,781,alto,5.69,Prefeitura,pendente,Magnam magni architecto porro dignissimos odio nulla.,5292.71,118,108,80
0078,2024-06-26,04:45,Japuí,Mongaguá,SP,-23.885175,-46.312416,inundação,severa,148.6,8.46,110.5,34.3,60,157.7,469,84,584,baixo,14.23,Defesa Civil,concluído,Ipsam magnam ut mollitia tempora minima enim rem eius.,281937.5,46,134,133
0079,2025-06-22,10:13,Itararé,Santos,SP,-23.868335,-46.310119,chuva forte,severa,29,2.8,91.6,30.2,87,125.9,4542,8,26,emergência,8.66,Prefeitura,concluído,Vitae excepturi autem recusandae odit ullam culpa excepturi labore mollitia nemo optio.,294021.2,177,12,153
0080,2024-10-23,23:17,Embaré,Praia Grande,SP,-23.887961,-46.267428,granizo,moderada,114.7,4.05,37.7,29.2,79,4.9,705,96,69,emergência,14.15,Defesa Civil,em andamento,Est corrupti molestias quis unde quaerat est.,199510.76,28,37,40
0081,2024-04-20,04:43,Embaré,Guarujá,SP,-23.852578,-46.325666,granizo,severa,160.3,10.42,36.2,22.3,99,34.1,3478,78,569,alto,20.08,Corpo de Bombeiros,pendente,Ducimus sunt laboriosam doloremque voluptatem occaecati velit corrupti vel modi et voluptates.,352533.27,91,68,46
0082,2023-06-18,22:22,Boqueirão,Santos,SP,-23.914308,-46.27882,alagamento,severa,14.6,6.91,19.1,31.9,93,52.5,3090,119,301,emergência,23.88,Prefeitura,concluído,Officia provident pariatur laboriosam natus dicta ipsa quis dolorem eveniet ullam tempora voluptatum architecto nisi unde.,444669.59,172,110,116
0083,2023-01-03,00:25,Centro,São Vicente,SP,-23.948094,-46.344114,inundação,severa,100.6,8.75,24.6,23,64,212.5,1452,181,430,alto,23.8,Prefeitura,concluído,Amet nobis sint tempore quidem mollitia accusamus sequi incidunt iusto eum tempore.,99787.67,133,165,178
0084,2024-01-07,20:52,Vila Margarida,Guarujá,SP,-23.895604,-46.29884,vento intenso,forte,121.5,11.73,42.7,31.3,46,106.6,4442,197,923,baixo,13.42,Corpo de Bombeiros,pendente,Ipsum repellat dolores optio iste culpa inventore sit eius culpa omnis laudantium iste.,331634.42,188,74,12
0085,2024-02-10,07:06,Centro,Guarujá,SP,-23.855286,-46.253483,maré alta,forte,65.7,5.52,107.8,37.6,63,119.1,4429,16,707,baixo,20.75,Prefeitura,concluído,Vitae saepe dolore iusto aliquam esse rem odio possimus et consequuntur dolor necessitatibus.,105268.78,82,135,184
0086,2024-06-27,21:42,Parque Bitaru,Santos,SP,-23.949259,-46.275715,inundação,forte,46.8,10.22,72.3,37.2,45,132.1,3307,194,840,alto,5.85,Defesa Civil,pendente,Magni sequi sit sapiente nam non exercitationem laboriosam eligendi aperiam doloribus doloribus unde eligendi voluptatibus fuga.,171412.4,134,50,77
0087,2023-11-03,01:33,Boqueirão,Praia Grande,SP,-23.863546,-46.338448,vento intenso,leve,17.7,4.38,67.9,16.9,68,37.6,262,163,145,emergência,9.07,Polícia Militar,em andamento,Animi nisi doloribus debitis totam eos ipsum saepe maiores officia voluptatibus.,447341.07,19,89,82
0088,2024-06-16,21:49,Japuí,Santos,SP,-23.862646,-46.30698,vento intenso,forte,4.6,0.78,49.4,33.6,75,94.9,2649,103,548,emergência,11.3,Polícia Militar,pendente,Rerum deleniti sit nihil iure sed repellendus nemo assumenda sint deleniti dicta quae corrupti odit.,213921.7,5,48,62
0089,2025-10-25,12:16,Centro,Guarujá,SP,-23.949197,-46.339837,alagamento,severa,129.7,5.05,46.9,31.6,72,186.7,321,191,49,baixo,9.13,Corpo de Bombeiros,pendente,Aperiam facere itaque autem laborum harum neque nostrum.,290190.91,26,52,142
0090,2023-12-27,19:24,Catiapoã,Guarujá,SP,-23.942699,-46.265648,granizo,moderada,159.3,8.1,87.7,20.1,89,60.1,1700,136,91,moderado,12.46,Defesa Civil,pendente,Fugiat mollitia enim odio hic voluptatibus fugit optio quidem assumenda labore cumque temporibus nesciunt ullam.,101642.26,101,45,5
0091,2025-03-11,15:27,Aparecida,Praia Grande,SP,-23.911117,-46.284601,chuva forte,moderada,29,1.36,41.1,19.1,64,91.9,4524,35,75,baixo,22.79,Prefeitura,em andamento,Eveniet eligendi ad sint amet in aut exercitationem rem dicta qui unde.,402923.36,72,89,22
